Distrito Electoral,Escaños,Congresistas electos,Partido,Votos
Amazonas,2,Absalon Montoya Guivin,Frente Amplio,19 237
Amazonas,2,Grimaldo Vásquez Tan,Somos Perú,12 096
Áncash,5,Hirma Norma Alencastre Miranda,Somos Perú,33 316
Áncash,5,Betto Barrionuevo Romero,Somos Perú,33 044
Áncash,5,María Isabel Bartolo Romero,Unión por el Perú,19 048
Áncash,5,Otto Guibovich Arteaga,Acción Popular,14 902
Áncash,5,Jhosept Amado Pérez Mimbela,Alianza para el Progreso,12 985
Apurímac,2,Lenin Abraham Checco Chauca,Frente Amplio,14 000
Apurímac,2,Omar Merino López,Alianza para el Progreso,9 826
Arequipa,6,Edgar Arnold Alarcón Tejada,Unión por el Perú,46 673
Arequipa,6,Hipólito Chaiña Contreras,Unión por el Perú,41 152
Arequipa,6,José Antonio Núñez Salas,Partido Morado,26 390
Arequipa,6,Rosario Paredes Eyzaguirre,Acción Popular,19 787
Arequipa,6,Daniel Oseda Yucra,FREPAP,14 558
Arequipa,6,José Luis Ancalle Gutiérrez,Frente Amplio,13 932
Ayacucho,3,Jim Ali Mamani Barriga,Unión por el Perú,26 788
Ayacucho,3,Javier Mendoza Marquina,Unión por el Perú,22 419
Ayacucho,3,Perci Rivas Ocejo,Alianza para el Progreso,8 053
Cajamarca,6,Wálter Benavides Gavidia,Alianza para el Progreso,31 758
Cajamarca,6,Moisés González Cruz,Alianza para el Progreso,21 527
Cajamarca,6,Hans Troyes Delgado,Acción Popular,16 090
Cajamarca,6,Mirtha Esther Vásquez Chuquilin,Frente Amplio,12 687
Cajamarca,6,Felicita Madaleine Tocto Guerrero,Somos Perú,9 996
Cajamarca,6,Widman Napoleón Vigo Gutiérrez,Fuerza Popular,8 138
Callao,4,Paul Gabriel García Oviedo,Acción Popular,19 007
Callao,4,Marcos Antonio Pichilingue Gómez,Fuerza Popular,13 506
Callao,4,Miguel Ángel Gonzales Santos,Partido Morado,11 329
Callao,4,Alcides Rayme Marín,FREPAP,9 188
Cusco,5,Rubén Pantoja Calvo,Unión por el Perú,21 665
Cusco,5,Jorge Vásquez Becerra,Acción Popular,19 600
Cusco,5,Matilde Fernández Flores,Somos Perú,11 328
Cusco,5,Alexander Hidalgo Zamalloa,Alianza para el Progreso,11 278
Cusco,5,Juan de Dios Huamán Champi,FREPAP,10 532
Huancavelica,2,Posemoscrowte Irrhoscopt Chagua Payano,Unión por el Perú,13 235
Huancavelica,2,Kenyon Eduardo Durand Bustamante,Acción Popular,4 691
Huánuco,3,Wilmer Solís Bajonero Olivas,Acción Popular,21 568
Huánuco,3,Yessy Nélida Fabián Díaz,Acción Popular,13 863
Huánuco,3,Lusmila Pérez Espíritu,Alianza para el Progreso,13 494
Ica,4,Julio Fredy Condori Flores,Alianza para el Progreso,24 286
Ica,4,Juan Carlos Oyola Rodríguez,Acción Popular,14 123
Ica,4,Gilbert Juan Alonzo Fernández,Fuerza Popular,8 455
Ica,4,Julia Benigna Ayquipa Torres,FREPAP,5 247
Junín,5,César Augusto Combina Salvatierra,Alianza para el Progreso,26 378
Junín,5,Roberto Carlos Chavarría Vilcatoma,Unión por el Perú,21 838
Junín,5,Robledo Noe Gutarra Ramos,FREPAP,19 091
Junín,5,Freddy Llaulli Romero,Acción Popular,14 878
Junín,5,Erwin Tito Ortega,Fuerza Popular,7 971
La Libertad,7,Luis Valdez Farias,Alianza para el Progreso,34 331
La Libertad,7,Tania Rosalía Rodas Malca,Alianza para el Progreso,24 999
La Libertad,7,Lenin Fernando Bazán Villanueva,Frente Amplio,20 431
La Libertad,7,Miguel Ángel Vivanco Reyes,Fuerza Popular,15 720
La Libertad,7,Anthony Renson Novoa Cruzado,Acción Popular,15 268
La Libertad,7,Jesús Del Carmen Núñez Marreros,FREPAP,14 283
La Libertad,7,Mariano Andrés Yupanqui Miñano,Somos Perú,13 432
Lambayeque,5,Jorge Luis Pérez Flores,Somos Perú,28 385
Lambayeque,5,Rolando Campos Villalobos,Acción Popular,25 897
Lambayeque,5,Humberto Acuña Peralta,Alianza para el Progreso,24 698
Lambayeque,5,María Martina Gallardo Becerra,Podemos Perú,16 935
Lambayeque,5,Rita Elena Ayasta De Díaz,Fuerza Popular,11 163
Lima y Residentes en el Extranjero,36,Daniel Urresti Elera,Podemos Perú,588 763
Lima y Residentes en el Extranjero,36,Alberto de Belaúnde de Cárdenas,Partido Morado,266 654
Lima y Residentes en el Extranjero,36,Martha Gladys Chávez Cossio,Fuerza Popular,181 640
Lima y Residentes en el Extranjero,36,Enrique Fernández Chacón,Frente Amplio,123 926
Lima y Residentes en el Extranjero,36,Yeremi Aron Espinoza Velarde,Podemos Perú,110 790
Lima y Residentes en el Extranjero,36,José Luis Luna Morales,Podemos Perú,105 471
Lima y Residentes en el Extranjero,36,Gino Francisco Costa Santolalla,Partido Morado,101 819
Lima y Residentes en el Extranjero,36,Francisco Rafael Sagasti Hochhausler,Partido Morado,96 422
Lima y Residentes en el Extranjero,36,Mónica Saavedra Ocharán,Acción Popular,91 656
Lima y Residentes en el Extranjero,36,Daniel Federico Olivares Cortes,Partido Morado,80 649
Lima y Residentes en el Extranjero,36,Diethell Columbus Murata,Fuerza Popular,78 912
Lima y Residentes en el Extranjero,36,Leslye Carol Lazo Villón,Acción Popular,67 069
Lima y Residentes en el Extranjero,36,Cindy Arlette Contreras Bautista,Frente Amplio,57 598
Lima y Residentes en el Extranjero,36,Rennan Samuel Espinoza Rosales,Somos Perú,53 644
Lima y Residentes en el Extranjero,36,Zenaida Solís Gutiérrez,Partido Morado,52 597
Lima y Residentes en el Extranjero,36,Rocío Yolanda Angélica Silva Santisteban Manrique,Frente Amplio,50 606
Lima y Residentes en el Extranjero,36,Carolina Lizárraga Houghton,Partido Morado,49 131
Lima y Residentes en el Extranjero,36,Luis Felipe Castillo Oliva,Podemos Perú,47 153
Lima y Residentes en el Extranjero,36,Wilmer Cayllahua Barrientos,FREPAP,46 910
Lima y Residentes en el Extranjero,36,Valeria Carolina Valer Collado,Fuerza Popular,36 525
Lima y Residentes en el Extranjero,36,Walter Jesús Rivera Guerra,Acción Popular,36 166
Lima y Residentes en el Extranjero,36,María Teresa Cabrera Vega,Podemos Perú,35 301
Lima y Residentes en el Extranjero,36,Luis Andrés Roel Alva,Acción Popular,34 452
Lima y Residentes en el Extranjero,36,María Cristina Retamozo Lezama,FREPAP,34 410
Lima y Residentes en el Extranjero,36,José Alejandro Vega Antonio,Unión por el Perú,33 251
Lima y Residentes en el Extranjero,36,Isaías Pineda Santos,FREPAP,33 009
Lima y Residentes en el Extranjero,36,Richard Rubio Gariza,FREPAP,27 650
Lima y Residentes en el Extranjero,36,María Teresa Céspedes Cárdenas,FREPAP,27 500
Lima y Residentes en el Extranjero,36,Carlos Fernando Mesía Ramírez,Fuerza Popular,26 536
Lima y Residentes en el Extranjero,36,Jaqueline Cecilia García Rodríguez,Podemos Perú,24 646
Lima y Residentes en el Extranjero,36,Omar Karim Chehade Moya,Alianza para el Progreso,24 610
Lima y Residentes en el Extranjero,36,Guillermo Alejandro Antonio Aliaga Pajares,Somos Perú,22 824
Lima y Residentes en el Extranjero,36,Ricardo Miguel Burga Chuquipiondo,Acción Popular,20 652
Lima y Residentes en el Extranjero,36,Robinson Dociteo Gupioc Ríos,Podemos Perú,19 032
Lima y Residentes en el Extranjero,36,María del Carmen Omonte Durand,Alianza para el Progreso,18 098
Lima y Residentes en el Extranjero,36,Orestes Pompeyo Sánchez Luis,Podemos Perú,13 016
Lima Provincias,4,Carlos Alberto Almerí Veramendi,Podemos Perú,16 224
Lima Provincias,4,Alfredo Benites Agurto,FREPAP,13 696
Lima Provincias,4,Carlos Andrés Pérez Ochoa,Acción Popular,10 454
Lima Provincias,4,Liliana Angélica Pinedo Achaca,Fuerza Popular,9 438
Loreto,4,Fernando Meléndez Celis,Alianza para el Progreso,34 038
Loreto,4,Leonardo Inga Sales,Acción Popular,16 686
Loreto,4,Eduardo Geovanni Acate Coronel,Alianza para el Progreso,10 101
Loreto,4,Luz Milagros Cayguaray Gambini,FREPAP,9 631
Madre de Dios,1,Alexander Lozano Inostroza,Unión por el Perú,1 699
Moquegua,2,Johan Flores Villegas,Podemos Perú,7 505
Moquegua,2,Walter Yonni Ascona Calderón,Alianza para el Progreso,4 977
Pasco,2,Luis Carlos Simeón Hurtado,Acción Popular,9 748
Pasco,2,Marco Antonio Verde Heidinger,Alianza para el Progreso,4 483
Piura,7,Mártires Lizana Santos,Fuerza Popular,28 228
Piura,7,Edward Alexander Zarate Anton,Fuerza Popular,19 708
Piura,7,María Luisa Silupu Inga,Fuerza Popular,14 934
Piura,7,Mario Javier Quispe Suárez,Alianza para el Progreso,14 479
Piura,7,Franco Salinas López,Acción Popular,14 385
Piura,7,Luis Reymundo Dioses Guzmán,Somos Perú,14 235
Piura,7,Angélica María Palomino Saavedra,Partido Morado,13 291
Puno,5,Yvan Quispe Apaza,Frente Amplio,33 174
Puno,5,Yessica Marisela Apaza Quispe,Unión por el Perú,29 154
Puno,5,Rubén Ramos Zapana,Unión por el Perú,26 470
Puno,5,Jesús Orlando Arapa Roque,Acción Popular,24 216
Puno,5,Irene Carcausto Huanca,Alianza para el Progreso,11 681
San Martín,4,Manuel Aguilar Zamora,Acción Popular,32 614
San Martín,4,Rolando Rubén Ruíz Pinedo,Acción Popular,13 570
San Martín,4,Robertina Santillana Paredes,Alianza para el Progreso,10 735
San Martín,4,Gilmer Trujillo,Fuerza Popular,6 348
Tacna,2,Héctor Simón Maquera Chávez,Unión por el Perú,16 487
Tacna,2,Raúl Machaca Mamani,FREPAP,9 140
Tumbes,2,Napoleón Puño Lecarnaque,Alianza para el Progreso,6 350
Tumbes,2,Manuel Arturo Merino De Lama,Acción Popular,5 271
Ucayali,2,César Gonzales Tuanama,Somos Perú,25 862
Ucayali,2,Nelly Huamani Machaca De Espinoza,FREPAP,20 922
